CLY23-D4,Rep,Female genotype,Species,Notes,DTS,DTA,PH (cm),EH (cm),EN,BW (cm),BL (cm),SL (cm),SPAD 1,SPAD 1 Date,SPAD 2,SPAD 2 Date,Leaf Auringle,ST,StPu,StPi,Zigzag,Prolificacy,Brace roots,Fv/Fm,Fv/Fm Date
3022,1,Mesa-JSG-Y-RMM-440_P3_P1_P3_P1.1.1.1,Mesa,,6/28/2023,6/28/2023,174,39,2,,,,,,,,,N,N,N,,,,,8/3/2023
3023,1,Zlux-G1_P1_P1_P3_P1.5.1.1,Zlux,,7/3/2023,7/3/2023,173,51,2,,,,,,,,,N,N,N,,,,,8/8/2023
3024,1,Nabo-JSG-SRV-604_P2_P1_P2_P1.1.1.1,Nabo,,NA,NA,,,,,,,,,,,,N,N,N,,,,,#VALUE!
3025,1,Zdip-JSG-RMM-LCL-551_P3_P1_P4_P3.1.1.1,Zdip,,NA,NA,,,,,,,,,,,,N,N,N,,,,,#VALUE!
3026,1,Zlux-G3_P3_P1_P1_P1.4.1.1,Zlux,,7/2/2023,7/4/2023,176,50,2,,,,,,,,,N,N,N,,,,,8/7/2023
3027,1,Dura-JSG-SRV-EAM-705_P4_P1_P5_P2.1.1.1,Dura,,6/26/2023,6/27/2023,178,67,6,,,,,,,,,N,N,N,,,,,8/1/2023
3028,1,Nabo-JSG-SRV-604_P3_P1_P4_P1.3.1.1,Nabo,,6/27/2023,6/28/2023,221,90,7,,,,,,,,,N,N,N,,,,,8/2/2023
3029,1,Mesa-JSG-LCL-566_P2_P1_P2_P1.1.1.1,Mesa,,7/1/2023,7/1/2023,193,70,3,,,,,,,,,N,N,N,,,,,8/6/2023
3030,1,Zlux-G1_P1_P1_P2_P1.4.1.1,Zlux,,7/4/2023,7/2/2023,215,92,5,,,,,,,,,N,N,N,,,,,8/9/2023
3031,1,Mesa-JSG-LCL-566_P2_P1_P4_P2.2.1.1,Mesa,,7/1/2023,6/29/2023,211,76,2,,,,,,,,,N,N,N,,,,,8/6/2023
3032,1,Bals-JSG-LCL-672_P4_P1_P2_P1.1.1.1,Bals,,6/30/2023,6/30/2023,,,,,,,,,,,,N,N,N,,,,,8/5/2023
3033,1,Bals-JSG-RMM-LCL-487_P1_P1_P1_P1.2.1.1,Bals,,6/27/2023,6/28/2023,,,,,,,,,,,,N,N,Y,,,,,8/2/2023
3034,1,Zlux-G3_P3_P1_P5_P1.4.1.1,Zlux,,6/30/2023,6/28/2023,194,47,2,,,,,,,,,N,N,N,,,,,8/5/2023
3035,1,B73,B73,,7/1/2023,7/1/2023,190,64,2,,,,,,,,,N,N,N,,,,,8/6/2023
3036,1,Chal-JSG-JMHC-634_P3_P1_P1_P1.3.1.1,Chal,,7/1/2023,6/28/2023,200,68,2,,,,,,,,,N,N,N,,,,,8/6/2023
3037,1,Zdip-JSG-RMM-LCL-551_P2_P1_P1_P2.3.1.1,Zdip,,7/2/2023,7/1/2023,199,77,2,,,,,,,,,N,N,N,,,,,8/7/2023
3038,1,Zdip-JLVTKV-719_P2_P1_P2_P4.4.1.1,Zdip,,7/2/2023,6/30/2023,207,74,2,,,,,,,,,N,N,N,,,,,8/7/2023
3039,1,Zlux-G3_P3_P1_P1_P2.1.1.1,Zlux,,7/1/2023,7/1/2023,180,72,2,,,,,,,,,N,N,N,,,,,8/6/2023
3040,1,Bals-JACV-T-049_P2_P1_P3_P1.2.1.1,Bals,,7/3/2023,7/1/2023,227,80,3,,,,,,,,,N,N,N,,,,,8/8/2023
3041,1,Bals-JLNCM-646_P2_P1_P4_P2.2.1.1,Bals,,6/28/2023,6/27/2023,175,40,3,,,,,,,,,N,N,N,,,,,8/3/2023
3042,1,Zdip-JSG-RMM-LCL-551_P2_P1_P4_P2.3.1.1,Zdip,,7/2/2023,6/28/2023,180,75,2,,,,,,,,,N,N,N,,,,,8/7/2023
3043,1,Zdip-JLVTKV-720_P1_P1_P1_P1.4.1.1,Zdip,,6/29/2023,6/29/2023,190,73,2,,,,,,,,,N,N,N,,,,,8/4/2023
3044,1,B73,B73,,7/1/2023,6/28/2023,191,78,1,,,,,,,,,N,N,N,,,,,8/6/2023
3045,1,Mesa-JSG-LCL-689_P2_P1_P2_P2.1.1.1,Mesa,,6/27/2023,6/26/2023,201,80,2,,,,,,,,,N,N,N,,,,,8/2/2023
3046,1,Mesa-JSG-LCL-565_P2_P1_P5_P2.1.1.1,Mesa,,6/26/2023,6/26/2023,,,,,,,,,,,,N,N,N,,,,,8/1/2023
3047,1,Mesa-JSG-Y-RMM-438_P1_P1_P3_P1.2.1.1,Mesa,,6/25/2023,6/27/2023,,,,,,,,,,,,N,N,N,,,,,7/31/2023
3048,1,Zlux-G7_P2_P1_P2_P1.3.1.1,Zlux,,6/30/2023,6/29/2023,206,85,2,,,,,,,,,N,N,N,,,,,8/5/2023
3049,1,Zdip-JLVTKV-719_P2_P1_P1_P1.1.1.1,Zdip,,7/1/2023,7/1/2023,196,70,3,,,,,,,,,N,N,N,,,,,8/6/2023
3050,1,B73,B73,,6/30/2023,6/29/2023,200,73,3,,,,,,,,,N,N,N,,,,,8/5/2023
3051,1,Mesa-JSG-LCL-689_P2_P1_P2_P1.1.1.1,Mesa,,6/27/2023,6/27/2023,202,74,6,,,,,,,,,N,N,N,,,,,8/2/2023
3052,1,Chal-JSG-JMHC-629_P4_P1_P4_P2.1.1.1,Chal,,6/28/2023,6/30/2023,182,74,4,,,,,,,,,N,Y,N,,,,,8/3/2023
3053,1,Mesa-JSG-LCL-JGRF-586_P1_P2_P2_P2.2.1.1,Mesa,,6/27/2023,6/27/2023,172,63,2,,,,,,,,,N,N,N,,,,,8/2/2023
3054,1,Nabo-JSG-SRV-604_P2_P1_P5_P1.2.1.1,Nabo,,7/5/2023,7/6/2023,210,93,4,,,,,,,,,N,N,N,,,,,8/10/2023
3055,1,Mesa-JSG-Y-LOS-75_P1_P1_P4_P1.1.1.1,Mesa,,6/28/2023,6/28/2023,186,78,4,,,,,,,,,N,N,N,,,,,8/3/2023
3056,1,Chal-JSG-JMHC-634_P3_P1_P5_P1.2.1.1,Chal,,6/26/2023,6/26/2023,158,58,3,,,,,,,,,N,N,N,,,,,8/1/2023
3057,1,Bals-DMA-2008-1_P3_P1_P2_P2.2.1.1,Bals,,6/29/2023,6/26/2023,176,63,2,,,,,,,,,N,N,N,,,,,8/4/2023
3058,1,Dura-JSG-SRV-EAM-705_P4_P1_P4_P6.2.1.1,Dura,,6/27/2023,6/28/2023,,,,,,,,,,,,N,N,N,,,,,8/2/2023
3059,1,Mesa-JSG-465_P1_P1_P2_P1.2.1.1,Mesa,,7/1/2023,7/1/2023,,,,,,,,,,,,N,N,N,,,,,8/6/2023
3060,1,Mesa-JSG-427_P2_P1_P1_P2.2.1.1,Mesa,,6/25/2023,6/26/2023,180,70,4,,,,,,,,,N,N,N,,,,,7/31/2023
3061,1,Chal-JSG-JMHC-639_P2_P1_P4_P1.1.1.1,Chal,,6/30/2023,7/1/2023,184,55,3,,,,,,,,,N,N,N,,,,,8/5/2023
3062,1,Zdip-JLVTKV-720_P1_P1_P4_P2.4.1.1,Zdip,,7/4/2023,6/30/2023,192,70,3,,,,,,,,,N,N,N,,,,,8/9/2023
3063,1,Bals-JSG-RMM-LCL-517_P2_P1_P2_P1.2.1.1,Bals,,7/7/2023,7/4/2023,178,76,2,,,,,,,,,N,N,N,,,,,8/12/2023
3064,1,Bals-JLNCM-649_P4_P1_P1_P1.1.1.1,Bals,,6/27/2023,6/26/2023,235,107,5,,,,,,,,,N,N,Y,,,,,8/2/2023
3065,1,B73,B73,,6/27/2023,6/27/2023,182,62,2,,,,,,,,,N,N,N,,,,,8/2/2023
3066,1,Bals-JSG-LCL-672_P4_P1_P1_P1.2.1.1,Bals,,7/2/2023,6/27/2023,200,69,2,,,,,,,,,N,N,Y,,,,,8/7/2023
3067,1,Bals-JSG-RMM-LCL-495_P4_P1_P5_P2.2.1.1,Bals,delayed shoots,7/19/2023,7/4/2023,186,65,1,,,,,,,,,N,N,N,,,,,8/24/2023
3068,1,B73,B73,,7/2/2023,7/1/2023,187,66,2,,,,,,,,,N,N,N,,,,,8/7/2023
3069,1,Zdip-JSG-RMM-LCL-551_P2_P1_P2_P2.2.1.1,Zdip,,6/27/2023,6/27/2023,177,53,1,,,,,,,,,N,N,N,,,,,8/2/2023
3070,1,Zdip-CIM10003_P3_P1_P4_P1.2.1.1,Zdip,,6/30/2023,7/1/2023,214,73,6,,,,,,,,,N,N,Y,,,,,8/5/2023
3071,1,Bals-JSG-RMM-LCL-534_P1_P1_P4_P1.2.1.1,Bals,,7/2/2023,7/1/2023,188,80,4,,,,,,,,,N,N,N,,,,,8/7/2023
3072,1,Bals-JSG-RMM-LCL-517_P2_P1_P4_P1.2.1.1,Bals,,6/26/2023,6/26/2023,,,,,,,,,,,,N,N,N,,,,,8/1/2023
3073,1,Bals-JSG-LCL-704_P2_P1_P3_P1.1.1.1,Bals,,7/2/2023,7/2/2023,,,,,,,,,,,,N,N,N,,,,,8/7/2023
3074,1,Chal-JSG-LCL-559_P2_P1_P1_P1.2.1.1,Chal,,6/28/2023,6/26/2023,206,73,2,,,,,,,,,N,N,N,,,,,8/3/2023
3075,1,Hueh-H1_P3_P1_P1_P1.2.1.1,Hueh,,7/2/2023,7/1/2023,294,86,3,,,,,,,,,N,N,N,,,,,8/7/2023
3076,1,Bals-JSG-RMM-LCL-546_P3_P1_P5_P1.1.1.1,Bals,,6/27/2023,6/27/2023,249,98,2,,,,,,,,,N,N,N,,,,,8/2/2023
3077,1,Zlux-FAC--P-87_P1_P1_P1_P1.4.1.1,Zlux,,6/30/2023,6/30/2023,201,72,2,,,,,,,,,N,N,N,,,,,8/5/2023
3078,1,Bals-JLHNM-664_P3_P1_P5_P1.1.1.1,Bals,,7/1/2023,7/1/2023,207,76,5,,,,,,,,,N,N,N,,,,,8/6/2023
3079,1,Dura-JSG-SRV-EAM-705_P4_P1_P5_P2.2.1.1,Dura,,6/30/2023,7/1/2023,198,60,4,,,,,,,,,N,N,N,,,,,8/5/2023
3080,1,B73,B73,,7/2/2023,6/27/2023,192,60,2,,,,,,,,,N,N,N,,,,,8/7/2023
3081,1,Nabo-JSG-SRV-604_P2_P1_P5_P3.1.1.1,Nabo,,7/1/2023,6/29/2023,194,77,2,,,,,,,,,N,N,Y,,,,,8/6/2023
3082,1,Mesa-JSG-LCL-689_P2_P1_P3_P2.3.1.1,Mesa,,6/25/2023,6/25/2023,157,72,4,,,,,,,,,N,N,N,,,,,7/31/2023
3083,1,Bals-JSG-LCL-704_P3_P1_P4_P1.2.1.1,Bals,,7/3/2023,6/28/2023,187,49,4,,,,,,,,,N,N,N,,,,,8/8/2023
3084,1,Mesa-JACV-T-018_P2_P1_P1_P1.2.1.1,Mesa,,6/28/2023,6/27/2023,,,,,,,,,,,,N,N,N,,,,,8/3/2023
3085,1,Chal-CIM11400_P2_P1_P4_P1.2.1.1,Chal,,7/2/2023,7/1/2023,,,,,,,,,,,,N,N,N,,,,,8/7/2023
3086,1,Mesa-JSG-RMM-LCL-536_P1_P1_P3_P2.1.1.1,Mesa,,6/27/2023,6/27/2023,184,76,3,,,,,,,,,N,N,Y,,,,,8/2/2023
3087,1,Hueh-H1_P3_P1_P4_P1.1.1.1,Hueh,,7/1/2023,6/29/2023,205,75,3,,,,,,,,,N,N,N,,,,,8/6/2023
3088,1,Hueh-H1_P3_P1_P1_P1.1.1.1,Hueh,,7/3/2023,6/27/2023,174,62,3,,,,,,,,,N,N,N,,,,,8/8/2023
3089,1,Hueh-H1_P3_P1_P3_P1.4.1.1,Hueh,,7/1/2023,7/1/2023,188,59,3,,,,,,,,,N,N,N,,,,,8/6/2023
3090,1,Bals-JSG-RMM-LCL-483_P3_P1_P4_P1.1.1.1,Bals,,7/1/2023,6/27/2023,135,58,4,,,,,,,,,N,N,N,,,,,8/6/2023
3091,1,Dura-JSG-SRV-EAM-708_P3_P1_P5_P4.5.1.1,Dura,,7/4/2023,7/2/2023,208,77,3,,,,,,,,,N,N,N,,,,,8/9/2023
3092,1,Bals-JLNCM-646_P2_P1_P4_P2.1.1.1,Bals,,7/4/2023,7/4/2023,205,80,3,,,,,,,,,N,N,Y,,,,,8/9/2023
3093,1,B73,B73,,6/29/2023,6/27/2023,188,66,2,,,,,,,,,N,N,N,,,,,8/4/2023
3094,1,Mesa-JSG-465_P1_P1_P5_P1.1.1.1,Mesa,,7/1/2023,6/27/2023,209,75,2,,,,,,,,,N,N,N,,,,,8/6/2023
3095,1,Chal-JSG-JMHC-626_P4_P1_P5_P1.2.1.1,Chal,,6/27/2023,6/27/2023,140,65,2,,,,,,,,,N,N,Y,,,,,8/2/2023
3096,1,Purple Check,Check,,NA,NA,,,,,,,,,,,,,,,,,,,
3097,1,Zlux-G1_P1_P1_P1_P1.1.1.1,Zlux,,7/2/2023,6/30/2023,164,54,2,,,,,,,,,N,N,N,,,,,8/7/2023
3098,1,Nabo-JSG-SRV-604_P2_P1_P2_P1.3.1.1,Nabo,,7/3/2023,7/1/2023,,,,,,,,,,,,N,N,N,,,,,8/8/2023
3099,1,Zdip-CIM10003_P2_P1_P4_P4.2.1.1,Zdip,,6/26/2023,6/26/2023,,,,,,,,,,,,N,N,Y,,,,,8/1/2023
3100,1,Bals-JSG-RMM-LCL-546_P3_P1_P1_P1.1.1.1,Bals,,7/3/2023,7/1/2023,235,112,5,,,,,,,,,N,N,N,,,,,8/8/2023
3101,1,B73,B73,,7/3/2023,6/30/2023,187,70,2,,,,,,,,,N,N,N,,,,,8/8/2023
3102,1,Bals-JSG-RMM-LCL-568_P3_P1_P3_P1.2.1.1,Bals,,7/3/2023,7/2/2023,177,82,7,,,,,,,,,N,N,N,,,,,8/8/2023
3103,1,Bals-JLNCM-643_P3_P1_P1_P1.2.1.1,Bals,,7/1/2023,6/30/2023,175,47,1,,,,,,,,,N,N,N,,,,,8/6/2023
3104,1,Bals-JSG-LCL-704_P3_P1_P5_P1.1.1.1,Bals,,7/2/2023,6/30/2023,183,50,4,,,,,,,,,N,N,N,,,,,8/7/2023
3105,1,B73,B73,,7/3/2023,7/2/2023,175,52,2,,,,,,,,,N,N,N,,,,,8/8/2023
3106,1,Hueh-H2_P4_P1_P3_P3.2.1.1,Hueh,,7/1/2023,6/27/2023,180,72,2,,,,,,,,,N,N,N,,,,,8/6/2023
3107,1,Nabo-JSG-SRV-606_P2_P1_P2_P2.2.1.1,Nabo,,6/28/2023,6/25/2023,155,50,2,,,,,,,,,N,N,N,,,,,8/3/2023
3108,1,Bals-JSG-RMM-LCL-517_P2_P1_P1_P2.1.1.1,Bals,,7/5/2023,7/1/2023,190,70,2,,,,,,,,,N,N,N,,,,,8/10/2023
3109,1,Bals-JSG-RMM-LCL-514_P1_P1_P1_P1.1.1.1,Bals,,6/28/2023,6/27/2023,167,57,2,,,,,,,,,N,N,N,,,,,8/3/2023
3110,1,Dura-JSG-SRV-EAM-705_P4_P1_P1_P3.1.1.1,Dura,,7/1/2023,6/29/2023,,,,,,,,,,,,N,N,N,,,,,8/6/2023
3111,1,Zdip-CIM10003_P2_P1_P5_P2.4.1.1,Zdip,,6/28/2023,6/28/2023,,,,,,,,,,,,N,N,N,,,,,8/3/2023
3112,1,Nabo-JSG-SRV-606_P2_P1_P1_P4.1.1.1,Nabo,,6/27/2023,6/27/2023,172,41,1,,,,,,,,,N,N,Y,,,,,8/2/2023
3113,1,Bals-DMA-2008-1_P3_P1_P2_P1.1.1.1,Bals,,7/1/2023,6/29/2023,181,60,3,,,,,,,,,N,N,N,,,,,8/6/2023
3114,1,Zdip-CIM10003_P3_P1_P1_P1.1.1.1,Zdip,,7/4/2023,7/1/2023,185,90,2,,,,,,,,,N,N,N,,,,,8/9/2023
3115,1,Dura-JSG-Y-RMM-429_P2_P1_P3_P3.1.1.1,Dura,,7/2/2023,7/1/2023,165,72,3,,,,,,,,,N,N,N,,,,,8/7/2023
3116,1,Dura-JSG-SRV-EAM-705_P4_P1_P1_P1.1.1.1,Dura,,7/1/2023,6/27/2023,187,78,2,,,,,,,,,N,N,N,,,,,8/6/2023
3117,1,Zdip-JLVTKV-719_P2_P1_P4_P3.3.1.1,Zdip,,7/2/2023,6/29/2023,177,65,4,,,,,,,,,N,N,N,,,,,8/7/2023
3118,1,Nabo-JSG-SRV-606_P2_P1_P3_P1.3.1.1,Nabo,,6/29/2023,6/27/2023,221,82,5,,,,,,,,,N,N,N,,,,,8/4/2023
3119,1,Bals-JSG-RMM-LCL-495_P4_P1_P1_P1.1.1.1,Bals,,6/29/2023,6/28/2023,195,69,3,,,,,,,,,N,N,N,,,,,8/4/2023
3120,1,Dura-JSG-SRV-EAM-705_P4_P1_P3_P4.1.1.1,Dura,,6/29/2023,6/28/2023,184,74,3,,,,,,,,,N,N,N,,,,,8/4/2023
3121,1,Mesa-JSG-Y-RMM-444_P2_P1_P1_P1.2.1.1,Mesa,,6/30/2023,6/30/2023,190,52,1,,,,,,,,,N,N,N,,,,,8/5/2023
3122,1,Zdip-JLVTKV-719_P2_P1_P3_P2.1.1.1,Zdip,,7/5/2023,7/4/2023,164,70,3,,,,,,,,,N,N,N,,,,,8/10/2023
3123,1,Chal-JSG-JMHC-631_P2_P1_P1_P2.2.1.1,Chal,,7/2/2023,6/30/2023,213,75,2,,,,,,,,,N,N,N,,,,,8/7/2023
3124,1,Zdip-JLVTKV-720_P1_P1_P5_P4.2.1.1,Zdip,,6/29/2023,6/29/2023,,,,,,,,,,,,N,N,N,,,,,8/4/2023
3125,1,Zdip-JLVTKV-720_P1_P1_P4_P5.1.1.1,Zdip,,7/1/2023,6/28/2023,,,,,,,,,,,,N,N,N,,,,,8/6/2023
3126,1,Hueh-H1_P3_P1_P2_P2.1.1.1,Hueh,,7/2/2023,7/2/2023,205,83,4,,,,,,,,,N,N,N,,,,,8/7/2023
3127,1,Zdip-JSG-RMM-LCL-551_P3_P1_P4_P2.3.1.1,Zdip,,7/1/2023,6/28/2023,145,54,4,,,,,,,,,N,N,N,,,,,8/6/2023
3128,1,Bals-JSG-LCL-704_P2_P1_P2_P1.2.1.1,Bals,,6/27/2023,6/27/2023,158,63,2,,,,,,,,,N,N,N,,,,,8/2/2023
3129,1,B73,B73,,7/1/2023,6/28/2023,197,66,2,,,,,,,,,N,N,N,,,,,8/6/2023
3130,1,Bals-JSG-Y-RMM-458_P1_P1_P2_P1.2.1.1,Bals,,7/10/2023,7/8/2023,216,85,2,,,,,,,,,N,N,N,,,,,8/15/2023
3131,1,Dura-JSG-Y-RMM-429_P2_P1_P5_P3.2.1.1,Dura,,7/1/2023,7/2/2023,220,56,4,,,,,,,,,N,N,N,,,,,8/6/2023
3132,1,Zlux-FAC--P-87_P1_P1_P4_P1.1.1.1,Zlux,,6/28/2023,6/27/2023,216,75,2,,,,,,,,,N,N,N,,,,,8/3/2023
3133,1,Bals-JLNCM-657_P4_P1_P2_P1.2.1.1,Bals,,6/27/2023,6/28/2023,159,50,2,,,,,,,,,N,N,N,,,,,8/2/2023
3134,1,Zdip-CIM10003_P3_P1_P2_P4.1.1.1,Zdip,,7/6/2023,7/6/2023,201,80,4,,,,,,,,,N,N,N,,,,,8/11/2023
3135,1,Zdip-JLVTKV-719_P2_P1_P4_P3.4.1.1,Zdip,,6/27/2023,6/26/2023,185,75,4,,,,,,,,,N,N,N,,,,,8/2/2023
3136,1,B73,B73,,7/1/2023,6/27/2023,,,,,,,,,,,,N,N,N,,,,,8/6/2023
3137,1,Dura-JSG-Y-RMM-429_P4_P1_P3_P5.1.1.1,Dura,,6/29/2023,6/27/2023,,,,,,,,,,,,N,N,N,,,,,8/4/2023
3138,1,Zdip-CIM10003_P2_P1_P2_P2.2.1.1,Zdip,,7/3/2023,7/3/2023,193,72,3,,,,,,,,,N,N,N,,,,,8/8/2023
3139,1,Zdip-JLVTKV-719_P2_P1_P5_P5.1.1.1,Zdip,,6/29/2023,6/29/2023,201,69,5,,,,,,,,,N,N,N,,,,,8/4/2023
3140,1,Mesa-CIM11365_P2_P2_P4_P1.2.1.1,Mesa,,7/1/2023,6/29/2023,201,60,3,,,,,,,,,N,N,N,,,,,8/6/2023
3141,1,Mesa-JSG-Y-LOS-75_P2_P1_P4_P1.1.1.1,Mesa,,7/5/2023,7/2/2023,275,123,4,,,,,,,,,N,N,N,,,,,8/10/2023
3142,1,Mesa-JSG-Y-RMM-440_P3_P1_P4_P1.2.1.1,Mesa,,7/1/2023,6/29/2023,192,83,2,,,,,,,,,N,N,N,,,,,8/6/2023
3143,1,Nabo-JSG-SRV-604_P2_P1_P4_P1.2.1.1,Nabo,,7/2/2023,7/1/2023,158,56,4,,,,,,,,,N,N,N,,,,,8/7/2023
3144,1,Mesa-JSG-LCL-565_P2_P1_P5_P1.2.1.1,Mesa,,7/2/2023,6/29/2023,188,79,3,,,,,,,,,N,N,N,,,,,8/7/2023
3145,1,Dura-JSG-SRV-EAM-708_P3_P1_P4_P5.3.1.1,Dura,,7/1/2023,6/28/2023,169,60,2,,,,,,,,,N,N,N,,,,,8/6/2023
3146,1,Zdip-CIM10003_P3_P1_P2_P5.2.1.1,Zdip,,7/3/2023,7/2/2023,206,78,2,,,,,,,,,N,N,N,,,,,8/8/2023
3147,1,Mesa-JSG-RMM-LCL-473_P3_P1_P2_P1.3.1.1,Mesa,,6/29/2023,6/28/2023,188,76,3,,,,,,,,,N,N,N,,,,,8/4/2023
3148,1,Bals-JSG-RMM-LCL-487_P1_P1_P2_P1.2.1.1,Bals,,7/4/2023,7/1/2023,219,85,4,,,,,,,,,N,N,N,,,,,8/9/2023
3149,1,B73,B73,,6/27/2023,6/26/2023,215,90,4,,,,,,,,,N,N,N,,,,,8/2/2023
3150,1,Bals-JSG-467_P2_P1_P4_P1.2.1.1,Bals,,7/4/2023,6/28/2023,,,,,,,,,,,,N,N,N,,,,,8/9/2023
3151,1,Zdip-CIM10003_P2_P1_P4_P4.3.1.1,Zdip,,7/2/2023,6/30/2023,,,,,,,,,,,,N,N,N,,,,,8/7/2023
3152,1,Bals-JLNCM-646_P2_P1_P4_P1.1.1.1,Bals,,6/28/2023,6/28/2023,180,86,4,,,,,,,,,N,N,Y,,,,,8/3/2023
3153,1,Zdip-CIM10003_P2_P1_P1_P2.3.1.1,Zdip,,6/27/2023,6/26/2023,184,75,2,,,,,,,,,N,N,N,,,,,8/2/2023
3154,1,Zlux-G3_P3_P1_P3_P2.3.1.1,Zlux,,6/28/2023,6/28/2023,187,69,4,,,,,,,,,N,N,N,,,,,8/3/2023
3155,1,Zlux-G3_P3_P1_P1_P2.3.1.1,Zlux,,7/2/2023,7/2/2023,218,76,3,,,,,,,,,N,N,N,,,,,8/7/2023
3156,1,Nabo-JSG-SRV-604_P3_P1_P2_P2.5.1.1,Nabo,,6/30/2023,6/30/2023,177,48,7,,,,,,,,,N,N,N,,,,,8/5/2023
3157,1,Zdip-JSG-RMM-LCL-551_P3_P1_P2_P4.3.1.1,Zdip,,7/1/2023,7/1/2023,187,78,3,,,,,,,,,N,N,Y,,,,,8/6/2023
3158,1,Zdip-JLVTKV-719_P2_P1_P3_P3.4.1.1,Zdip,,7/4/2023,7/4/2023,198,80,2,,,,,,,,,N,N,N,,,,,8/9/2023
3159,1,Chal-JSG-RMM-LCL-476_P2_P1_P2_P2.2.1.1,Chal,,7/4/2023,7/5/2023,239,95,4,,,,,,,,,N,Y,Y,,,,,8/9/2023
3160,1,Bals-JSG-RMM-LCL-495_P4_P1_P4_P2.2.1.1,Bals,,6/26/2023,6/25/2023,154,55,2,,,,,,,,,N,N,N,,,,,8/1/2023
3161,1,Zdip-JSG-RMM-LCL-551_P3_P1_P2_P3.3.1.1,Zdip,,6/27/2023,6/27/2023,176,64,3,,,,,,,,,N,N,N,,,,,8/2/2023
