CLY23-D4,Rep,Female genotype,Species,Notes,DTS,DTA,PH (cm),EH (cm),EN,BW (cm),BL (cm),SL (cm),SPAD 1,SPAD 1 Date,SPAD 2,SPAD 2 Date,Leaf Auringle,ST,StPu,StPi,Zigzag,Prolificacy,Brace roots,Fv/Fm,Fv/Fm Date
3001,1,B73,B73,,7/3/2023,7/3/2023,238,74,2,,,,,,,,,N,N,N,,,,,8/8/2023
3002,1,B73,B73,,7/8/2023,7/3/2023,185,70,2,,,,,,,,,N,N,N,,,,,8/13/2023
3003,1,Bals-JSG-RMM-LCL-474_P2_P1_P5_P2.1.1.1,Bals,,7/6/2023,7/6/2023,206,67,2,,,,,,,,,N,N,N,,,,,8/11/2023
3004,1,Chal-JSG-JMHC-629_P4_P1_P3_P1.1.1.1,Chal,,7/12/2023,7/6/2023,188,58,3,,,,,,,,,N,N,N,,,,,8/17/2023
3005,1,Bals-JLNCM-646_P2_P1_P5_P1.2.1.1,Bals,,7/10/2023,7/15/2023,156,47,2,,,,,,,,,N,N,N,,,,,8/15/2023
3006,1,Bals-JSG-RMM-LCL-524_P2_P1_P2_P1.3.1.1,Bals,,7/12/2023,7/8/2023,,,,,,,,,,,,N,N,N,,,,,8/17/2023
3007,1,Zdip-JLVTKV-719_P2_P1_P2_P4.5.1.1,Zdip,,7/10/2023,7/6/2023,,,,,,,,,,,,N,N,N,,,,,8/15/2023
3008,1,Dura-JSG-SRV-EAM-705_P4_P1_P5_P1.3.1.1,Dura,,6/29/2023,6/30/2023,187,74,4,,,,,,,,,N,N,N,,,,,8/4/2023
3009,1,Mesa-JACV-T-018_P2_P1_P2_P1.2.1.1,Mesa,,7/2/2023,7/3/2023,165,54,3,,,,,,,,,N,Y,N,,,,,8/7/2023
3010,1,Bals-JSG-LCL-704_P3_P1_P2_P1.2.1.1,Bals,,7/2/2023,6/30/2023,158,50,4,,,,,,,,,N,N,N,,,,,8/7/2023
3011,1,Nabo-JSG-SRV-604_P3_P1_P3_P3.2.1.1,Nabo,,7/5/2023,7/4/2023,200,70,2,,,,,,,,,N,N,N,,,,,8/10/2023
3012,1,Bals-JACV-T-082_P2_P1_P3_P1.2.1.1,Bals,,7/3/2023,7/4/2023,158,50,2,,,,,,,,,N,N,N,,,,,8/8/2023
3013,1,Zdip-JLVTKV-720_P1_P1_P3_P1.1.1.1,Zdip,,7/10/2023,7/5/2023,227,60,1,,,,,,,,,N,N,N,,,,,8/15/2023
3014,1,Bals-JSG-RMM-LCL-495_P4_P1_P4_P1.2.1.1,Bals,,7/3/2023,7/4/2023,190,68,2,,,,,,,,,N,N,N,,,,,8/8/2023
3015,1,Chal-CIM27215(CIM-1)_P2_P1_P1_P2.1.1.1,Chal,,7/4/2023,7/4/2023,204,63,3,,,,,,,,,N,N,N,,,,,8/9/2023
3016,1,Chal-CIM11400_P2_P1_P5_P1.1.1.1,Chal,,6/30/2023,6/28/2023,195,69,2,,,,,,,,,N,N,N,,,,,8/5/2023
3017,1,Bals-JSG-RMM-LCL-539_P3_P1_P3_P1.1.1.1,Bals,,6/29/2023,6/28/2023,198,57,2,,,,,,,,,N,N,N,,,,,8/4/2023
3018,1,Zdip-CIM10003_P3_P1_P5_P1.3.1.1,Zdip,,7/4/2023,7/3/2023,187,45,5,,,,,,,,,N,N,N,,,,,8/9/2023
3019,1,Bals-JSG-RMM-LCL-524_P2_P1_P2_P2.1.1.1,Bals,,6/29/2023,6/29/2023,186,63,3,,,,,,,,,N,N,N,,,,,8/4/2023
3020,1,Bals-JSG-LCL-674_P3_P1_P1_P1.2.1.1,Bals,,7/1/2023,6/30/2023,,,,,,,,,,,,N,N,N,,,,,8/6/2023
3021,1,Bals-JSG-RMM-LCL-487_P1_P1_P3_P1.1.1.1,Bals,,7/5/2023,7/3/2023,,,,,,,,,,,,N,N,N,,,,,8/10/2023
